id,teil_id,bild_id,befund_id,befundart,kontrast,kontrast_skala,tiefe_um,tiefe_methode
K001,T-001,B-01,F001,RIEFE,17.0,roh,1.00,DUMMY
K002,T-001,B-01,F002,RIEFE,17.1,roh,1.01,DUMMY
K003,T-001,B-01,F003,RIEFE,17.2,roh,1.02,DUMMY
K004,T-001,B-01,F004,RIEFE,17.3,roh,1.03,DUMMY
K005,T-001,B-01,F005,RIEFE,17.4,roh,1.04,DUMMY
K006,T-001,B-01,F006,RIEFE,17.5,roh,1.05,DUMMY
K007,T-001,B-01,F007,RIEFE,17.6,roh,1.06,DUMMY
K008,T-001,B-01,F008,RIEFE,17.7,roh,1.07,DUMMY
K009,T-001,B-01,F009,RIEFE,17.8,roh,1.08,DUMMY
K010,T-001,B-01,F010,RIEFE,17.9,roh,1.09,DUMMY
K011,T-001,B-01,F011,RIEFE,18.0,roh,1.10,DUMMY
K012,T-001,B-01,F012,RIEFE,18.1,roh,1.11,DUMMY
K013,T-001,B-01,F013,RIEFE,18.2,roh,1.12,DUMMY
K014,T-001,B-01,F014,RIEFE,18.3,roh,1.13,DUMMY
K015,T-001,B-01,F015,RIEFE,18.4,roh,1.14,DUMMY
K016,T-001,B-01,F016,RIEFE,18.5,roh,1.15,DUMMY
K017,T-001,B-01,F017,RIEFE,18.6,roh,1.16,DUMMY
K018,T-001,B-01,F018,RIEFE,18.7,roh,1.17,DUMMY
K019,T-001,B-01,F019,RIEFE,18.8,roh,1.18,DUMMY
K020,T-001,B-02,F020,RIEFE,18.9,roh,1.19,DUMMY
K021,T-001,B-02,F021,RIEFE,19.0,roh,1.20,DUMMY
K022,T-001,B-02,F022,RIEFE,19.1,roh,1.21,DUMMY
K023,T-001,B-02,F023,RIEFE,19.2,roh,1.22,DUMMY
K024,T-001,B-02,F024,RIEFE,19.3,roh,1.23,DUMMY
K025,T-001,B-02,F025,RIEFE,19.4,roh,1.24,DUMMY
K026,T-001,B-02,F026,RIEFE,19.5,roh,1.25,DUMMY
K027,T-001,B-02,F027,RIEFE,19.6,roh,1.26,DUMMY
K028,T-001,B-02,F028,RIEFE,19.7,roh,1.27,DUMMY
K029,T-001,B-02,F029,RIEFE,19.8,roh,1.28,DUMMY
K030,T-001,B-02,F030,RIEFE,19.9,roh,1.29,DUMMY
K031,T-001,B-02,F031,RIEFE,20.0,roh,1.30,DUMMY
K032,T-001,B-02,F032,RIEFE,20.1,roh,1.31,DUMMY
K033,T-001,B-02,F033,RIEFE,20.2,roh,1.32,DUMMY
K034,T-001,B-02,F034,RIEFE,20.3,roh,1.33,DUMMY
K035,T-001,B-02,F035,RIEFE,20.4,roh,1.34,DUMMY
K036,T-001,B-02,F036,RIEFE,20.5,roh,1.35,DUMMY
K037,T-001,B-02,F037,RIEFE,20.6,roh,1.36,DUMMY
K038,T-001,B-02,F038,RIEFE,20.7,roh,1.37,DUMMY
K039,T-001,B-02,F039,RIEFE,20.8,roh,1.38,DUMMY
K040,T-001,B-03,F040,RIEFE,20.9,roh,1.39,DUMMY
